Country,League,Matchday,Hometeam,Awayteam,FTR,FTHG,FTAG,HTR,HTHG,HTAG
Germany,Bundesliga 2,13,Bochum,Dresden,A,1.0,2.0,A,0.0,2.0
Germany,Bundesliga 2,13,Hertha,Braunschweig,H,1.0,0.0,D,0.0,0.0
Germany,Bundesliga 2,12,Braunschweig,Bochum,A,0.0,2.0,A,0.0,1.0
Germany,Bundesliga 2,12,Holstein Kiel,Fortuna Dusseldorf,H,1.0,0.0,D,0.0,0.0
Germany,Bundesliga 2,12,Magdeburg,Paderborn,A,0.0,1.0,A,0.0,1.0
Germany,Bundesliga 2,12,Kaiserslautern,Hertha,A,0.0,1.0,A,0.0,1.0
Germany,Bundesliga 2,12,Bielefeld,Karlsruhe,H,4.0,0.0,H,1.0,0.0
Germany,Bundesliga 2,12,Hannover,Darmstadt,A,2.0,3.0,H,2.0,1.0
Germany,Bundesliga 2,12,Schalke 04,Elversberg,H,1.0,0.0,H,1.0,0.0
Germany,Bundesliga 2,12,Greuther Furth,Preußen Münster,,,,,,
Germany,Bundesliga 2,12,Dresden,Nurnberg,A,1.0,2.0,D,1.0,1.0
Germany,Bundesliga 2,11,Bochum,Magdeburg,H,2.0,0.0,H,1.0,0.0
Germany,Bundesliga 2,11,Fortuna Dusseldorf,Kaiserslautern,D,1.0,1.0,D,0.0,0.0
Germany,Bundesliga 2,11,Paderborn,Greuther Furth,H,2.0,1.0,H,1.0,0.0
Germany,Bundesliga 2,11,Darmstadt,Bielefeld,D,2.0,2.0,H,2.0,1.0
